text,label
Atrapado en la prisión que yo mismo he creado.,1
Abrazando la incertidumbre del futuro.,0
Atrapado en el fuego cruzado de emociones contradictorias.,1
Encontrando paz en la quietud de la noche.,0
Luchando por encontrar mi lugar en el mundo.,1
Abrazando la belleza del momento presente.,0
Perdido en un laberinto de posibilidades infinitas.,1
Buscando refugio en el santuario de la soledad.,0
Perdido en la naturaleza salvaje de mi propia mente.,1
Encontrando fuerza frente a la adversidad.,0
A la deriva en un mar de incertidumbre y dudas.,1
